framewise_displacement	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	eddy_stdevs	original_file	grad_x	grad_y	grad_z	bval	image_mean	series_b0_mean	series_b0_correction	Patch2Self_pre	Patch2Self_post	Patch2Self_change	MRDeGibbs_pre	MRDeGibbs_post	MRDeGibbs_change
0.9114795047699998	-0.1248334937	0.03114108687	-0.351717873	-0.001989409793	0.004006168805	-0.00570048485	0.0	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.0	0.0	0.0	0.0	1690.4958673686313	1692.07444605122	1.0	1692.0323883928572	1694.6112655828824	0.0529044844264822	1694.6112655828824	1690.4958673686313	0.0627131703123728
0.71578725227	-0.1659886287	-0.4617703674	-0.3534060592	-0.002471801825	0.002762830351	-0.0038255658	-9.18132894	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.201754	0.449795	0.870046	2500.0	311.7101015441726	1692.07444605122	1.0	311.9063070436508	311.87381172955094	0.1442602471971316	311.87381172955094	311.7101015441726	0.0352903411470528
0.4470642486	-0.1289217154	-0.2254307855	-0.3586512497	-0.003184284549	0.003585590748	-0.005658573937	-4.2975422000000005	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.641035	0.514411	0.56961	1000.0	565.0888464678602	1692.07444605122	1.0	565.3662934027777	565.5574279854168	0.0919806921192451	565.5574279854168	565.0888464678602	0.0356560739280491
0.4383872974	-0.1282797254	-0.4318929883	-0.2869381145	-0.003404944669	0.002970331581	-0.003303093836	0.9610446	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.948581	-0.236684	-0.21018	2500.0	315.5022748364032	1692.07444605122	1.0	315.1757514880952	315.6403300622224	0.1456698702970667	315.6403300622224	315.5022748364032	0.0356074650027778
0.318649783	-0.2031614808	-0.5371865648	-0.3487756491	-0.003809773596	0.003452289151	-0.003949045669	3.5293193	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.226321	0.637157	0.736756	2500.0	312.7854162709265	1692.07444605122	1.0	312.846171875	312.9441078267112	0.1478795764495316	312.9441078267112	312.7854162709265	0.0366742197739853
0.5218853197000001	-0.1421557144	-0.1736151976	-0.3586286524	-0.003312321845	0.003401550232	-0.005149958655	-5.6344936	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.979017	0.199515	0.0414696	1000.0	565.2109805834546	1692.07444605122	1.0	566.5152318948412	565.730613166019	0.0899888660054725	565.730613166019	565.2109805834546	0.0349930050171828
0.38367285730000006	-0.178675587	-0.3805056452	-0.3097654259	-0.003104684409	0.003115843749	-0.003815316362	1.49531445	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.151561	0.981432	-0.117559	2500.0	309.6845056272256	1692.07444605122	1.0	310.1038132440476	309.844780644146	0.143788373002964	309.844780644146	309.6845056272256	0.0379855796881915
0.08739905150000003	-0.1848796043	-0.3795212811	-0.258504301	-0.003445117036	0.003116813488	-0.0040529049	13.392949000000002	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.442944	-0.158842	-0.882366	2500.0	308.1696329133326	1692.07444605122	1.0	309.67261160714287	308.2760891935808	0.1577058234501468	308.2760891935808	308.1696329133326	0.0376488789019126
0.667280034204	-0.1490735423	-0.002909431146	-0.3611591525	-0.003333351575	0.004206177779	-0.005895920563	61.394102700000005	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.40718	-0.438729	0.801075	1000.0	552.8068503225879	1692.07444605122	1.0	553.6278955853174	553.309253969979	0.0959597297347298	553.309253969979	552.8068503225879	0.0372283550987964
0.799882235404	-0.2311917543	-0.4805131381	-0.2953309667	-0.003616253845	0.003232818563	-0.003665539436	33.104208899999996	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.544622	0.824052	0.155962	2500.0	311.91653205248895	1692.07444605122	1.0	312.2528559027777	312.06495260845026	0.1482678749166028	312.06495260845026	311.91653205248895	0.036955030696716
0.22035926144999993	-0.1788959891	-0.3791120801	-0.2527858134	-0.003784673056	0.003432655009	-0.003779629478	2.2923903699999997	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.646561	0.510918	-0.5665	2500.0	305.32525496907584	1692.07444605122	1.0	306.72337549603174	305.4644777307353	0.157428984782268	305.4644777307353	305.32525496907584	0.0387604092840408
0.70163867547	-0.1443193837	0.01294964682	-0.2574535859	-0.004925354384	0.004958180245	-0.006520074327	34.51538221	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.148571	-0.567709	0.809712	1000.0	547.7842770409096	1692.07444605122	1.0	548.355363343254	548.2911184086202	0.1018608846951334	548.2911184086202	547.7842770409096	0.0372056186706041
