subject,session,ap_file_exists,pa_file_exists,ap_size_mb,pa_size_mb,ap_dimensions,pa_dimensions,ap_voxel_size,pa_voxel_size,ap_phase_encoding,pa_phase_encoding,ap_total_readout_time,pa_total_readout_time,ap_echo_time,ap_repetition_time,ap_mb_factor,num_b0,num_b1000,num_b2500,num_total_volumes,unique_bvals,num_directions,bvec_norm_ok,issues,abs_motion,rel_motion,outlier_pct,cnr_b1000,cnr_b2500,fba_qc_verdict,fba_qc_notes
sub-110,ses-02,True,True,105.7,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.44,0.27,0.04,28.84,2.5,pass,
sub-112,ses-01,True,True,103.1,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.53,0.4,0.0,37.08,3.35,pass,
sub-113,ses-01,True,False,105.1,,120x120x56x97,,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,,j-,,0.0289563,,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,missing_PA_nii,0.72,0.28,0.1,28.46,2.47,pass,
sub-114,ses-01,True,True,107.3,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.71,0.45,0.12,34.07,2.41,pass,
sub-114,ses-02,True,True,109.4,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.58,0.45,0.12,29.97,1.94,pass,
sub-118,ses-00,True,False,1.2,,120x120x55,,1.7999999523162842x1.7999999523162842x2.0339999198913574,,j-,,0.0230069,,0.0636,6.5,N/A,1,0,0,1,0,0,no_diffusion_vols,missing_PA_nii; unexpected_AP_readout_time(0.0230069); unexpected_AP_echo_time(0.0636); unexpected_AP_repetition_time(6.5); unexpected_num_volumes(1); unexpected_num_b0(1); unexpected_num_b1000(0); unexpected_num_b2500(0); unexpected_AP_dimensions(120x120x55); unexpected_AP_voxel_size(1.7999999523162842x1.7999999523162842x2.0339999198913574); abnormal_AP_size(1.2MB); bvec_norm_issue,,,,,,not_processed,not in FBA preprocessing pipeline
sub-118,ses-01,True,False,1.2,,120x120x55,,1.7999999523162842x1.7999999523162842x2.0339999198913574,,j-,,0.0230069,,0.0636,6.5,N/A,1,0,0,1,0,0,no_diffusion_vols,missing_PA_nii; unexpected_AP_readout_time(0.0230069); unexpected_AP_echo_time(0.0636); unexpected_AP_repetition_time(6.5); unexpected_num_volumes(1); unexpected_num_b0(1); unexpected_num_b1000(0); unexpected_num_b2500(0); unexpected_AP_dimensions(120x120x55); unexpected_AP_voxel_size(1.7999999523162842x1.7999999523162842x2.0339999198913574); abnormal_AP_size(1.2MB); bvec_norm_issue,1.2,0.28,0.02,23.12,2.58,pass,
sub-119,ses-00,True,False,1.2,,120x120x55,,1.7999999523162842x1.7999999523162842x2.0339999198913574,,j-,,0.0230069,,0.0636,6.5,N/A,1,0,0,1,0,0,no_diffusion_vols,missing_PA_nii; unexpected_AP_readout_time(0.0230069); unexpected_AP_echo_time(0.0636); unexpected_AP_repetition_time(6.5); unexpected_num_volumes(1); unexpected_num_b0(1); unexpected_num_b1000(0); unexpected_num_b2500(0); unexpected_AP_dimensions(120x120x55); unexpected_AP_voxel_size(1.7999999523162842x1.7999999523162842x2.0339999198913574); abnormal_AP_size(1.2MB); bvec_norm_issue,,,,,,not_processed,not in FBA preprocessing pipeline
sub-119,ses-01,True,True,107.5,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,,,,,,not_processed,not in FBA preprocessing pipeline
sub-121,ses-01,True,False,1.2,,120x120x55,,1.7999999523162842x1.7999999523162842x2.0339999198913574,,j-,,0.0230069,,0.0636,6.5,N/A,1,0,0,1,0,0,no_diffusion_vols,missing_PA_nii; unexpected_AP_readout_time(0.0230069); unexpected_AP_echo_time(0.0636); unexpected_AP_repetition_time(6.5); unexpected_num_volumes(1); unexpected_num_b0(1); unexpected_num_b1000(0); unexpected_num_b2500(0); unexpected_AP_dimensions(120x120x55); unexpected_AP_voxel_size(1.7999999523162842x1.7999999523162842x2.0339999198913574); abnormal_AP_size(1.2MB); bvec_norm_issue,1.34,0.28,0.54,10.6,0.94,fail,movement artifacts; banding-like artifacts
